site_id,habitat_type,date,temperature_c,dissolved_oxygen_mg_l,salinity_ppt,nitrate_mg_l,turbidity_ntu,chlorophyll_a_ug_l,algal_cell_count_ml
BAYOU_01,freshwater_marsh,2026-09-01,27.8,6.4,0.4,0.62,18,12.5,8400
BAYOU_02,freshwater_marsh,2026-09-01,29.1,5.8,0.6,0.78,22,16.1,10300
BAYOU_03,brackish_marsh,2026-09-01,30.4,5.1,3.2,0.55,27,18.9,11800
BAYOU_04,brackish_marsh,2026-09-01,31.2,4.7,4.1,0.81,35,23.4,14100
BAYOU_05,bottomland_hardwood,2026-09-01,26.5,7.1,0.2,0.44,12,8.7,6200
BAYOU_06,urban_canal,2026-09-01,32.0,4.2,1.1,1.24,46,31.8,17700
BAYOU_07,urban_canal,2026-09-08,31.5,4.4,1.4,1.10,41,28.6,16200
BAYOU_08,brackish_marsh,2026-09-08,29.8,5.3,3.8,0.69,29,20.1,12400
BAYOU_09,freshwater_marsh,2026-09-08,28.3,6.1,0.5,0.73,21,15.4,9900
BAYOU_10,bottomland_hardwood,2026-09-08,26.9,6.9,0.3,0.39,14,9.2,6500
BAYOU_11,coastal_edge,2026-09-08,30.9,4.9,5.6,0.58,33,21.7,13200
BAYOU_12,coastal_edge,2026-09-08,31.7,4.5,6.2,0.64,38,25.9,15100
